epoch,count,committers,files
15974,2,1,10
15991,1,1,1
15992,1,1,16
16008,7,1,20
16013,8,1,13
16040,1,1,0
16058,1,1,0
16083,1,1,1
16132,1,1,53
16141,2,1,2
16142,1,1,0
16156,5,1,6
16160,1,1,2
16168,1,1,0
16170,1,1,1
16191,1,1,0
16195,1,1,0
16197,1,1,0
16203,1,1,3
16214,2,1,2
16217,1,1,1
16224,1,1,0
16232,1,1,1
16240,1,1,0
16241,1,1,2
16252,1,1,1
16253,1,1,7
16254,2,1,2
16263,1,1,14
16265,1,1,18
16269,1,1,10
16274,5,2,17
16276,1,1,2
16294,1,1,1
16295,1,1,8
16299,2,1,4
16302,1,1,2
16309,1,1,0
16315,1,1,6
16322,3,1,15
16324,1,1,15
16328,4,2,47
16329,1,1,1
16338,1,1,68
16344,1,1,49
16346,2,2,1
16357,1,1,1
16362,1,1,1
16363,1,1,2
16439,2,1,2
16454,3,1,3
16567,1,1,2
16596,2,1,4
16637,1,1,4
16665,1,1,6
16728,5,3,10
16807,1,1,3
16917,2,1,4
16945,5,1,8
16960,1,1,2
17023,2,1,3
17030,1,1,4
17071,4,2,6
17099,1,1,2
17134,2,1,4892
17141,1,1,2729
17142,1,1,2
17163,1,1,1
17173,1,1,1
17177,2,1,2
17184,1,1,1
17193,2,1,12
17206,2,1,2
17265,1,1,13
17268,2,1,2
17272,2,1,30
17285,1,1,114
17293,1,1,1
17310,1,1,3879
17321,1,1,1916
17330,1,1,29
17337,1,1,3
17340,2,1,24
17398,1,1,30
17416,1,1,7
17418,1,1,1
17419,1,1,2
17420,1,1,1
17425,1,1,13
17435,1,1,1
17436,1,1,16
17483,2,1,20
17489,1,1,5
17498,1,1,17
17518,1,1,1
17519,2,1,4
17546,1,1,1
17547,2,1,3
17554,1,1,22
17558,1,1,1
17559,1,1,4900
17592,39,1,4997
17597,1,1,1
17612,4,1,25
17637,2,2,37
17653,1,1,15
17654,1,1,0
17657,1,1,3
17660,2,1,4922
17665,14,1,4959
17667,4,1,19
17669,1,1,4934
17672,4,1,9870
17694,13,1,4977
17695,4,1,14
17721,1,1,0
17724,1,1,4938
17728,1,1,4938
17731,1,1,0
17751,1,1,16
17752,1,1,1
17753,1,1,1
17756,7,1,20
17763,1,1,20
17765,2,2,19
17770,1,1,1
17787,1,1,4939
17800,2,1,4940
17805,1,1,0
17807,2,1,4940
17840,16,1,5004
17843,1,1,30
17846,1,1,30
17847,4,2,56
17848,3,2,59
17849,1,1,1
17869,1,1,0
17870,1,1,4
17885,1,1,6
17917,1,1,0
17918,3,2,4
17920,1,1,1
17935,1,1,2
17936,1,1,0
17938,2,1,2
17939,2,2,1
17963,1,1,0
17967,3,2,3
17973,2,2,1
17974,3,2,12
17978,1,1,3
17980,3,2,6
17982,3,3,16
17989,3,2,6
17996,2,2,6
18002,6,2,57
18003,1,1,48
18009,3,2,8
18010,4,1,52
18011,1,1,49
18014,2,1,7
18015,4,3,53
18018,1,1,78
18022,1,1,80
18028,1,1,1
18029,5,3,12
18031,2,2,228
18032,1,1,3
18035,2,1,117
18036,1,1,1
18039,1,1,0
18040,1,1,30
18042,3,1,146
18049,1,1,147
18050,3,2,49
18052,9,1,72
18054,2,1,6
18057,5,3,19
18064,6,2,11
18066,4,2,62
18068,12,1,92
18073,1,1,14
18074,2,1,68
18079,6,2,5
18084,2,1,2
18086,6,2,29
18089,2,2,29
18091,1,1,19
18092,3,3,50
18095,8,3,72
18096,1,1,7
18098,3,1,6
18108,2,1,6
18109,3,1,3
18111,11,1,47
18114,3,1,23
18115,11,2,54
18121,6,1,20
18126,1,1,22
18127,6,2,9
18130,1,1,8
18133,1,1,6
18136,7,3,36
18137,5,3,14
18140,2,1,29
18142,1,1,1
18143,1,1,37
18151,1,1,39
18152,1,1,0
18166,3,1,58
18168,1,1,5
18170,12,2,89
18173,4,1,2
18175,2,1,1
18178,2,2,63
18179,2,1,56
18180,3,1,2
18183,2,2,12
18185,1,1,12
18190,2,1,13
18193,16,3,28
18195,1,1,5
18197,2,1,1
18198,2,1,4
18207,2,1,6
18212,2,1,4
18213,4,2,6
18215,3,2,7
18218,4,1,11
18219,3,1,14
